code_iso;code_key
IND;IND-Haryana
IND;IND-Himachal-Pradesh
IND;IND-Jammu-and-Kashmir
IND;IND-Jharkhand
IND;IND-Karnataka
IND;IND-Kerala
IND;IND-Ladakh
IND;IND-Lakshadweep
IND;IND-Madhya-Pradesh
IND;IND-Maharashtra
IND;IND-Manipur
IND;IND-Meghalaya
IND;IND-Mizoram
IND;IND-Nagaland
IND;IND-Odisha
IND;IND-Puducherry
IND;IND-Punjab
IND;IND-Rajasthan
IND;IND-Sikkim
IND;IND-Tamil-Nadu
IND;IND-Telangana
IND;IND-Tripura
IND;IND-Uttar-Pradesh
IND;IND-Uttarakhand
IND;IND-West-Bengal
IDN;IDN
IRN;IRN
IRQ;IRQ
IRL;IRL
ISR;ISR
ITA;ITA-Abruzzo
ITA;ITA-Basilicata
ITA;ITA-Calabria
ITA;ITA-Campania
ITA;ITA-Emilia-Romagna
ITA;ITA-Friuli-Venezia-Giulia
ITA;ITA-Lazio
ITA;ITA-Liguria
ITA;ITA-Lombardia
ITA;ITA-Marche
ITA;ITA-Molise
ITA;ITA-P.A.-Bolzano
ITA;ITA-P.A.-Trento
ITA;ITA-Piemonte
ITA;ITA-Puglia
ITA;ITA-Sardegna
ITA;ITA-Sicilia
ITA;ITA-Toscana
ITA;ITA-Umbria
ITA;ITA-Valle-d'Aosta
ITA;ITA-Veneto
JAM;JAM
JPN;JPN-Aichi
JPN;JPN-Akita
JPN;JPN-Aomori
JPN;JPN-Chiba
JPN;JPN-Ehime
JPN;JPN-Fukui
JPN;JPN-Fukuoka
JPN;JPN-Fukushima
JPN;JPN-Gifu
JPN;JPN-Gunma
JPN;JPN-Hiroshima
JPN;JPN-Hokkaido
JPN;JPN-Hyogo
JPN;JPN-Ibaraki
JPN;JPN-Ishikawa
JPN;JPN-Iwate
JPN;JPN-Kagawa
JPN;JPN-Kagoshima
JPN;JPN-Kanagawa
JPN;JPN-Kochi
JPN;JPN-Kumamoto
JPN;JPN-Kyoto
JPN;JPN-Mie
JPN;JPN-Miyagi
JPN;JPN-Miyazaki
JPN;JPN-Nagano
JPN;JPN-Nagasaki
JPN;JPN-Nara
JPN;JPN-Niigata
JPN;JPN-Oita
JPN;JPN-Okayama
JPN;JPN-Okinawa
JPN;JPN-Osaka
JPN;JPN-Saga
JPN;JPN-Saitama
JPN;JPN-Shiga
JPN;JPN-Shimane
JPN;JPN-Shizuoka
JPN;JPN-Tochigi
JPN;JPN-Tokushima
JPN;JPN-Tokyo
JPN;JPN-Tottori
JPN;JPN-Toyama
JPN;JPN-Wakayama
JPN;JPN-Yamagata
JPN;JPN-Yamaguchi
JPN;JPN-Yamanashi
JOR;JOR
KAZ;KAZ
KEN;KEN
KIR;KIR
PRK;PRK
KOR;KOR
XKX;XKX
KWT;KWT
KGZ;KGZ
LAO;LAO
LVA;LVA
LBN;LBN
LSO;LSO
LBR;LBR
LBY;LBY
LIE;LIE
LTU;LTU
LUX;LUX
MDG;MDG
MWI;MWI
MYS;MYS-Johor
MYS;MYS-Kedah
MYS;MYS-Kelantan
MYS;MYS-Melaka
MYS;MYS-Negeri-Sembilan
MYS;MYS-Pahang
MYS;MYS-Perak
MYS;MYS-Perlis
MYS;MYS-Pulau-Pinang
MYS;MYS-Sabah
MYS;MYS-Sarawak
MYS;MYS-Selangor
MYS;MYS-Terengganu
MYS;MYS-W.P.-Kuala-Lumpur
MYS;MYS-W.P.-Labuan
MYS;MYS-W.P.-Putrajaya
MDV;MDV
MLI;MLI
MLT;MLT
MHL;MHL
MRT;MRT
MUS;MUS
MEX;MEX-Aguascalientes
MEX;MEX-Baja-California
MEX;MEX-Baja-California-Sur
MEX;MEX-Campeche
MEX;MEX-Chiapas
MEX;MEX-Chihuahua
MEX;MEX-Ciudad-de-Mexico
MEX;MEX-Coahuila
MEX;MEX-Colima
MEX;MEX-Durango
MEX;MEX-Guanajuato
MEX;MEX-Guerrero
MEX;MEX-Hidalgo
MEX;MEX-Jalisco
MEX;MEX-Mexico
MEX;MEX-Michoacan
MEX;MEX-Morelos
MEX;MEX-Nayarit
MEX;MEX-Nuevo-Leon
MEX;MEX-Oaxaca
MEX;MEX-Puebla
MEX;MEX-Queretaro
MEX;MEX-Quintana-Roo
MEX;MEX-San-Luis-Potosi
MEX;MEX-Sinaloa
MEX;MEX-Sonora
MEX;MEX-Tabasco
MEX;MEX-Tamaulipas
MEX;MEX-Tlaxcala
MEX;MEX-Veracruz
MEX;MEX-Yucatan
MEX;MEX-Zacatecas
